18138100/62.402874236 	18138100/62.52276431 	18138100/62.643505216 	18138100/62.743102345 	18138100/62.828253859 	18138100/62.903235529 	18138100/62.977464196 	18138100/63.048267126 	18138100/63.115851029 	18138100/63.193414386 	18138100/63.26690802 	18138100/63.33262485 	18138100/63.391488656 	18138100/63.449961732 	18138100/63.512696514 	18138100/63.57456848 	18138100/63.637309312 	18138100/63.697790045 	18138100/63.755002667 	| 	18138100/33.036312539@9
18138100/65.412859389 	18138100/65.555501424 	18137898/65.68737309 	18137898/65.783797466 	18137898/65.870062829 	18137898/65.952030136 	18137898/66.03957395 	18137898/66.116936886 	18137898/66.194672644 	18137898/66.26690258 	18137898/66.337643104 	18137898/66.409167215 	| 	18137898/65.568257623@11
18137898/67.847220447 	18137898/67.966537434 	18137898/68.060193135 	18137898/68.127478536 	18137898/68.191660275 	18137898/68.251909214 	18137898/68.311512318 	18137898/68.369562288 	18137898/68.425009213 	18137898/68.479911337 	18137898/68.534650707 	| 	18137898/65.568257623@11
18137898/70.0604855 	18137898/70.203300569 	18137898/70.308279832 	18137898/70.391754179 	18137898/70.469030682 	18137898/70.541307375 	18137898/70.614770316 	18137898/70.685283886 	18137898/70.754182108 	18137898/70.818304151 	18137898/70.880666763 	| 	18137898/65.568257623@11
18137898/72.164685318 	18137898/72.286286862 	18137898/72.398268818 	18137898/72.492782343 	18137898/72.572395724 	18137898/72.647515757 	18137898/72.719147155 	18137898/72.79075527 	18137898/72.85988472 	18137898/72.922361 	18137898/72.986112021 	18137898/73.045593373 	| 	18137898/65.568257623@11
18137898/74.258060265 	18137898/74.352076316 	18137898/74.438801669 	18137898/74.50017727 	18137898/74.559627381 	18137898/74.62067479 	18137898/74.682569535 	18137898/74.742152026 	18137898/74.798478485 	18137898/74.853477703 	18137898/74.908180612 	18137898/74.961140425 	| 	18137898/65.568257623@11
18137898/76.127954372 	18137898/76.242091008 	18137898/76.342559086 	18137898/76.432001392 	18137898/76.513327895 	18137898/76.589478397 	18137898/76.66217142 	18137898/76.731679757 	18137898/76.79402864 	18137898/76.853651223 	18137898/76.912497264 	| 	18137898/65.568257623@11
18137898/78.10858406 	18137898/78.199719869 	18137898/78.282579784 	18137898/78.34427423 	18137898/78.403081611 	18137898/78.455150028 	18137898/78.50846416 	18137898/78.560499789 	18137898/78.611407794 	18137898/78.660999617 	18137898/78.710202196 	| 	18137898/65.568257623@11
18137898/79.861322754 	18137898/79.951545588 	18137898/80.024242771 	18137898/80.07652907 	18137898/80.121306245 	18137898/80.164609918 	18137898/80.205333722 	18137898/80.243291994 	18137898/80.278521328 	18137898/80.314589033 	18137898/80.351233054 	18137898/80.387771836 	| 	18137898/65.568257623@11
18137898/81.421389931 	18137898/81.51557932 	18137898/81.603576311 	18137898/81.661934676 	18137898/81.714910493 	18137898/81.767543203 	18137898/81.819213092 	18137898/81.870530009 	18137898/81.921237617 	18137898/81.970805588 	18137898/82.027117702 	18137898/82.077637224 	| 	18137898/65.568257623@11
18137898/83.087617004 	18137898/83.190352579 	18137898/83.301354278 	18137898/83.396913639 	18137898/83.476401548 	18137898/83.550634382 	18137898/83.618722981 	18137898/83.68197662 	18137898/83.742243595 	18137898/83.800070133 	18137898/83.853545719 	18137898/83.90312965 	| 	18137898/65.568257623@11
18137898/84.914390594 	18137898/85.029603675 	18137898/85.12786939 	18137898/85.217917983 	18137898/85.302901132 	18137898/85.38912306 	18137898/85.471210022 	18137898/85.5482472 	18137898/85.62122552 	18137898/85.689837993 	18137898/85.755843208 	| 	18137898/65.568257623@11
18137898/86.780107726 	18137898/86.863771468 	18137898/86.935236924 	18137898/86.989874292 	18137898/87.041278554 	18137898/87.089362308 	18137898/87.145891724 	18137898/87.189616033 	18137898/87.231938497 	18137898/87.275129419 	18137898/87.317578359 	18137898/87.359438665 	| 	18137898/65.568257623@11
18137898/88.318605773 	18137898/88.397617731 	18137898/88.455166594 	18137898/88.501938649 	18137898/88.546706913 	18137898/88.591600298 	18137898/88.635006238 	18137898/88.677612647 	18137898/88.719418593 	18137898/88.759346551 	18137898/88.798040515 	| 	18137898/65.568257623@11
18137898/89.789106772 	18137898/89.873176615 	18137898/89.947914331 	18137898/90.004619651 	18137898/90.062301899 	18137898/90.119936074 	18137898/90.173347365 	18137898/90.223216155 	18137898/90.27178898 	18137898/90.320034879 	18137898/90.3700836 	18137898/90.416337582 	| 	18137898/65.568257623@11
